p_id,Gender,age,vintage (days),has_passed_logical_ability,has_passed_reading_comprehension,has_passed_general_awareness,has_passed_attention_to_detail,has_passed_pattern_recog,Life Time Earnings in Rs.,qualifiers_rejects,qualifiers_approved,qualifiers_re_attempts,voice_rejects,voice_approved,voice_re_attempts,sd_rejects,sd_approved,sd_re_attempts,ts_rejects,ts_approved,ts_re_attempts,other_data_rejects,other_data_approved,other_data_re_attempts,lives,Q Score Qualifiers,Q Score voice,Q Score Sd,Q Score ts,Q score other data,P Score Qualifiers,P Score voice,P Score Sd,P Score ts,P score other data,Q_logical_ability,Q_reading_comprehension,Q_general_awareness,Q_attention_to_detail,Q_pattern_recog,Average Q Score
54714,2,43,104,TRUE,TRUE,TRUE,TRUE,FALSE,5396.1,8,46,52,0,0,0,0,0,0,0,0,0,11,1756,453,5,0.226415094,#DIV/0!,#DIV/0!,#DIV/0!,1.368018018,22.64150943,#DIV/0!,#DIV/0!,#DIV/0!,84.20045045,100,100,100,100,0,#DIV/0!
54803,1,21,104,TRUE,TRUE,TRUE,TRUE,TRUE,4650.95,4,44,44,0,1,0,0,0,0,0,604,33,9,1386,219,5,0.391304348,2,#DIV/0!,1.844583987,1.57063197,39.13043478,100,#DIV/0!,96.11459969,89.26579926,100,100,100,100,100,#DIV/0!
54845,1,24,104,TRUE,TRUE,TRUE,FALSE,TRUE,3181.46,8,25,34,1,0,0,0,0,0,1,420,18,16,690,109,5,0,-2,#DIV/0!,1.867881549,1.520245399,0,0,#DIV/0!,96.69703872,88.00613497,100,100,100,0,100,#DIV/0!
54715,2,26,104,FALSE,FALSE,FALSE,FALSE,FALSE,1230.9,11,17,42,1,2,9,0,0,0,0,262,9,14,334,57,5,-0.428571429,-0.583333333,#DIV/0!,1.900369004,1.439506173,0,0,#DIV/0!,97.50922509,85.98765432,0,0,0,0,0,#DIV/0!
54734,2,20,104,FALSE,FALSE,FALSE,FALSE,FALSE,507.1,15,12,33,1,0,0,0,0,0,0,0,0,19,268,113,5,-0.65,-2,#DIV/0!,#DIV/0!,0.9625,0,0,#DIV/0!,#DIV/0!,73.125,0,0,0,0,0,#DIV/0!
54805,1,18,104,FALSE,FALSE,FALSE,FALSE,FALSE,25,7,3,11,0,0,0,0,0,0,0,0,0,8,8,12,1,-0.904761905,#DIV/0!,#DIV/0!,#DIV/0!,-0.428571429,0,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,#DIV/0!
54725,1,18,104,FALSE,FALSE,FALSE,FALSE,TRUE,20.75,6,3,7,0,0,1,0,0,0,0,0,0,7,5,7,0,-0.8125,-1,#DIV/0!,#DIV/0!,-0.578947368,0,0,#DIV/0!,#DIV/0!,0,0,0,0,0,100,#DIV/0!
54944,1,24,103,TRUE,TRUE,FALSE,TRUE,TRUE,10913.41,8,53,62,0,3,2,0,0,0,12,1629,118,22,2742,524,5,0.227642276,0.8,#DIV/0!,1.771461057,1.49513382,22.76422764,65,#DIV/0!,94.28652644,87.3783455,100,100,0,100,100,#DIV/0!
55007,1,21,103,FALSE,FALSE,FALSE,FALSE,FALSE,6765.4,20,19,48,0,0,5,0,0,0,8,1363,133,29,1426,197,5,-0.574712644,-1,#DIV/0!,1.713430851,1.572033898,0,0,#DIV/0!,92.83577128,89.30084746,0,0,0,0,0,#DIV/0!
55083,1,,103,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,#DIV/0!
55184,1,22,102,TRUE,TRUE,FALSE,TRUE,TRUE,4576.17,10,59,45,1,0,0,0,0,0,0,572,11,15,1510,257,5,0.464912281,-2,#DIV/0!,1.943396226,1.533670034,46.49122807,0,#DIV/0!,98.58490566,88.34175084,100,100,0,100,100,#DIV/0!
55094,2,19,102,TRUE,TRUE,FALSE,TRUE,TRUE,1205.33,6,27,46,0,0,0,0,0,0,0,257,11,8,341,80,5,-0.050632911,#DIV/0!,#DIV/0!,1.876865672,1.365967366,0,#DIV/0!,#DIV/0!,96.92164179,84.14918415,100,100,0,100,100,#DIV/0!
55159,1,20,102,FALSE,FALSE,TRUE,TRUE,TRUE,323.7,5,20,14,0,0,0,0,0,0,1,21,0,10,115,25,5,0.41025641,#DIV/0!,#DIV/0!,1.818181818,1.233333333,41.02564103,#DIV/0!,#DIV/0!,95.45454545,80.83333333,0,0,100,100,100,#DIV/0!
55322,1,22,101,TRUE,TRUE,TRUE,TRUE,TRUE,7012.15,10,45,66,0,1,18,0,0,0,0,242,23,11,1766,359,5,0.033057851,-0.842105263,#DIV/0!,1.739622642,1.475187266,3.305785124,0,#DIV/0!,93.49056604,86.87968165,100,100,100,100,100,#DIV/0!
55279,2,28,101,FALSE,FALSE,TRUE,TRUE,TRUE,2630.53,13,32,60,0,0,0,0,0,0,0,304,26,16,664,165,5,-0.20952381,#DIV/0!,#DIV/0!,1.763636364,1.338461538,0,#DIV/0!,#DIV/0!,94.09090909,83.46153846,0,0,100,100,100,#DIV/0!
55221,2,30,101,FALSE,FALSE,TRUE,TRUE,TRUE,1082.95,7,22,47,1,32,0,0,0,0,2,93,2,20,479,113,5,-0.223684211,1.878787879,#DIV/0!,1.855670103,1.315359477,0,96.96969697,#DIV/0!,96.39175258,82.88398693,0,0,100,100,100,#DIV/0!
55242,1,21,101,TRUE,TRUE,FALSE,TRUE,TRUE,31.55,3,9,15,1,0,1,0,0,0,0,0,0,4,13,16,1,-0.111111111,-1.5,#DIV/0!,#DIV/0!,0.060606061,0,0,#DIV/0!,#DIV/0!,6.060606061,100,100,0,100,100,#DIV/0!
